interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,choc_subi,nb_pieces_outlier,score_actifs,index_richesse_pca,quintile_richesse,nb_sources_revenu,eau_amelioree,cm_sexe,cm_age,cm_scolarise,cm_niveau_etudes,cm_occupation,nb_chocs
67-51-37-33,SEDHIOU,BOUNKILING,1,3,1,5,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,FALSE,4,1.2002294998197112,5,1,1,1,80,2,NA,0,0
69-65-30-82,KOLDA,KOLDA,1,3,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,FALSE,2,-0.1717307363381781,4,1,0,1,46,1,3,5,0
70-97-50-35,ZIGUINCHOR,ZIGUINCHOR,1,4,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,FALSE,1,-0.991607934532062,1,1,1,2,37,1,1,8,0
83-24-80-55,ZIGUINCHOR,ZIGUINCHOR,1,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,FALSE,1,-0.991607934532062,1,1,1,1,63,1,1,0,2
45-74-61-85,KOLDA,KOLDA,1,3,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,FALSE,3,0.4024828057550592,5,1,0,1,38,2,NA,9,0
71-72-76-21,ZIGUINCHOR,ZIGUINCHOR,1,3,2,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,FALSE,1,-0.991607934532062,1,1,0,2,68,2,NA,8,1
77-91-50-06,KOLDA,KOLDA,1,3,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,FALSE,3,0.4024828057550592,5,1,0,1,41,2,NA,6,0
50-05-06-41,ZIGUINCHOR,ZIGUINCHOR,1,4,3,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,FALSE,4,-0.02607054518011027,4,1,0,1,45,2,NA,8,3
59-95-30-21,TAMBACOUNDA,TAMBACOUNDA,1,4,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,0,1,67,2,NA,0,2
16-78-20-34,LOUGA,LINGUERE,1,4,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,1,-0.991607934532062,1,1,1,1,45,2,NA,9,1
