interview__key,region,milieu,score_actifs,asset_any_na
69-65-91-07,ZIGUINCHOR,1,1,0
21-41-12-91,SEDHIOU,1,7,0
31-65-44-53,KOLDA,1,2,0
80-42-53-42,KOLDA,1,0,0
66-40-88-37,FATICK,1,1,0
78-41-02-86,LOUGA,1,3,0
11-43-80-75,SEDHIOU,1,4,0
75-36-12-71,SEDHIOU,1,3,0
45-60-77-83,THIES,1,0,0
92-36-52-49,KOLDA,1,2,0
85-97-57-07,SEDHIOU,1,2,0
41-20-56-86,SEDHIOU,1,2,0
99-36-19-11,LOUGA,1,1,0
40-69-66-30,SEDHIOU,1,3,0
21-98-21-80,SEDHIOU,1,5,0
67-72-78-46,THIES,1,1,0
25-33-75-40,KOLDA,1,1,0
45-98-09-38,KOLDA,1,3,0
26-24-57-93,KOLDA,1,4,0
97-93-48-87,FATICK,1,6,0
55-22-78-62,THIES,1,1,0
03-19-49-44,KOLDA,1,7,0
26-03-66-19,SEDHIOU,NA,0,1
20-33-37-49,ZIGUINCHOR,1,2,0
35-23-40-45,ZIGUINCHOR,1,1,0
83-07-38-80,THIES,1,2,0
53-56-32-64,LOUGA,1,2,0
27-97-16-71,SEDHIOU,1,4,0
24-09-31-27,LOUGA,1,1,0
20-73-18-62,ZIGUINCHOR,1,1,0
21-00-16-03,SEDHIOU,1,2,0
16-52-55-13,ZIGUINCHOR,1,1,0
68-24-00-29,KOLDA,1,2,0
66-30-94-15,THIES,1,3,0
67-12-60-29,ZIGUINCHOR,1,2,0
28-80-70-88,SEDHIOU,1,2,0
74-64-30-08,ZIGUINCHOR,1,1,0
78-89-51-16,THIES,1,1,0
15-23-77-70,SEDHIOU,1,2,0
13-85-48-93,THIES,1,2,0
12-06-81-22,THIES,1,2,0
46-27-38-10,ZIGUINCHOR,1,2,0
20-23-45-13,KOLDA,1,1,0
53-10-04-49,THIES,1,2,0
51-16-75-82,LOUGA,1,2,0
11-00-08-65,SEDHIOU,1,2,0
13-98-85-62,KOLDA,1,3,0
95-04-43-18,LOUGA,1,3,0
93-45-34-09,THIES,1,1,0
48-06-79-34,SEDHIOU,1,2,0
96-32-96-36,THIES,1,2,0
70-12-84-12,LOUGA,1,2,0
98-55-03-72,LOUGA,1,2,0
63-42-45-36,ZIGUINCHOR,1,1,0
96-36-53-55,THIES,1,2,0
27-22-71-22,THIES,1,2,0
84-19-99-83,SEDHIOU,1,3,0
48-91-73-26,ZIGUINCHOR,1,2,0
60-53-39-62,THIES,1,2,0
14-48-13-72,SEDHIOU,1,4,0
26-75-32-45,LOUGA,1,2,0
94-09-07-23,ZIGUINCHOR,1,2,0
11-62-17-47,ZIGUINCHOR,1,3,0
48-80-67-13,SEDHIOU,1,1,0
45-76-33-27,KOLDA,1,1,0
91-69-15-32,SEDHIOU,1,2,0
23-30-96-00,THIES,1,0,1
32-94-11-82,SEDHIOU,1,5,0
37-85-92-62,KOLDA,1,1,0
54-44-41-87,KOLDA,1,1,0
00-31-86-67,SEDHIOU,1,3,0
90-73-23-24,KOLDA,1,1,0
15-37-29-78,SEDHIOU,1,3,0
56-68-74-27,SEDHIOU,1,3,0
07-33-87-67,SEDHIOU,1,2,0
77-02-23-06,KOLDA,1,1,0
48-74-70-52,SEDHIOU,1,3,0
16-20-79-49,KOLDA,1,3,0
23-75-91-59,SEDHIOU,1,2,0
33-45-20-14,KOLDA,1,1,0
36-07-94-25,ZIGUINCHOR,1,2,0
31-41-88-95,KOLDA,1,2,0
00-94-09-13,ZIGUINCHOR,1,2,0
20-71-46-91,SEDHIOU,1,2,0
46-82-66-06,KOLDA,1,1,0
12-96-22-72,KOLDA,1,2,0
41-77-36-18,KOLDA,1,0,0
78-03-42-52,SEDHIOU,NA,1,0
59-84-18-38,ZIGUINCHOR,1,2,0
27-22-10-01,KOLDA,1,3,0
67-44-11-44,KOLDA,1,2,0
73-12-65-67,SEDHIOU,1,2,0
30-76-91-10,KOLDA,1,2,0
18-39-12-09,ZIGUINCHOR,1,1,0
08-46-20-12,LOUGA,1,6,0
37-40-43-70,KOLDA,1,1,0
01-51-26-76,ZIGUINCHOR,1,2,0
55-73-04-47,ZIGUINCHOR,1,1,0
41-53-90-61,THIES,1,5,0
02-74-75-93,KOLDA,1,2,0
86-30-55-79,ZIGUINCHOR,1,2,0
90-91-91-55,ZIGUINCHOR,1,2,0
46-26-77-44,SEDHIOU,1,4,0
61-13-37-30,ZIGUINCHOR,1,1,0
51-45-69-55,LOUGA,1,2,0
77-36-03-59,LOUGA,1,2,0
39-25-35-58,ZIGUINCHOR,1,3,0
49-49-38-91,KOLDA,1,3,0
78-02-24-37,THIES,1,1,0
55-12-68-72,SEDHIOU,1,2,0
81-14-82-64,ZIGUINCHOR,1,2,0
76-82-89-14,LOUGA,1,1,0
68-94-64-70,THIES,1,2,0
97-06-92-02,LOUGA,1,2,0
55-16-55-96,ZIGUINCHOR,1,2,0
45-02-98-13,ZIGUINCHOR,1,1,0
35-54-39-98,KOLDA,1,1,0
49-15-48-55,ZIGUINCHOR,1,2,0
16-33-88-76,ZIGUINCHOR,1,1,0
52-07-77-75,LOUGA,1,1,0
75-49-88-51,THIES,1,1,0
94-71-65-55,FATICK,1,1,0
09-66-93-51,ZIGUINCHOR,1,3,0
77-60-16-82,KOLDA,1,3,0
58-01-31-37,THIES,1,2,0
38-13-40-42,ZIGUINCHOR,1,1,0
60-80-50-53,THIES,1,2,0
02-83-27-98,ZIGUINCHOR,1,4,0
27-55-31-28,KOLDA,1,1,0
46-53-98-17,FATICK,1,2,0
64-67-83-64,THIES,1,0,0
23-75-03-88,KOLDA,1,3,0
87-01-83-86,FATICK,1,2,0
02-21-83-50,ZIGUINCHOR,1,2,0
20-10-00-22,THIES,1,1,0
32-94-25-66,KOLDA,1,4,0
56-47-63-92,ZIGUINCHOR,1,1,0
91-87-43-59,ZIGUINCHOR,1,2,0
30-15-78-15,ZIGUINCHOR,1,1,0
24-48-82-24,SEDHIOU,1,2,0
94-82-62-85,SEDHIOU,1,6,0
82-34-07-73,FATICK,1,4,0
00-28-71-57,KOLDA,1,2,0
39-59-07-20,LOUGA,1,2,0
91-50-26-85,SEDHIOU,1,3,0
36-76-81-05,ZIGUINCHOR,1,2,0
83-14-23-28,ZIGUINCHOR,1,2,0
45-19-18-63,KOLDA,1,2,0
28-59-96-25,SEDHIOU,1,4,0
94-57-09-02,FATICK,1,3,0
40-35-27-23,ZIGUINCHOR,1,1,0
57-45-67-04,KOLDA,1,3,0
68-77-48-49,FATICK,1,2,0
43-19-66-70,SEDHIOU,1,3,0
99-70-99-36,ZIGUINCHOR,1,2,0
08-24-25-99,FATICK,1,3,0
88-21-15-78,KOLDA,1,2,0
74-55-22-16,SEDHIOU,1,3,0
12-20-65-96,ZIGUINCHOR,1,1,0
22-49-85-82,FATICK,1,3,0
92-83-17-58,KOLDA,1,0,0
55-82-44-87,SEDHIOU,1,4,0
39-75-72-35,ZIGUINCHOR,NA,2,0
42-00-89-19,ZIGUINCHOR,1,1,0
12-44-98-96,KOLDA,1,2,0
71-32-29-43,KOLDA,1,1,0
28-12-08-16,ZIGUINCHOR,1,2,0
54-10-35-98,KOLDA,1,4,0
86-34-32-16,LOUGA,1,2,0
41-64-01-98,KOLDA,1,3,0
09-24-19-58,KOLDA,1,3,0
84-55-37-16,ZIGUINCHOR,1,1,0
68-26-98-15,KOLDA,1,1,0
47-06-73-79,ZIGUINCHOR,1,2,0
38-35-83-76,LOUGA,1,4,0
99-79-76-74,ZIGUINCHOR,1,2,0
46-29-64-46,SEDHIOU,1,3,0
14-15-40-04,LOUGA,1,2,0
84-73-95-24,KOLDA,1,2,0
58-67-64-38,ZIGUINCHOR,1,1,0
75-12-60-35,KOLDA,1,2,0
44-75-46-92,KOLDA,1,5,0
50-81-81-06,ZIGUINCHOR,1,4,0
52-45-29-92,THIES,1,2,0
00-27-63-56,KOLDA,1,1,0
06-91-15-18,LOUGA,1,1,0
18-72-11-37,FATICK,1,1,0
26-61-42-62,ZIGUINCHOR,1,3,0
85-77-97-73,KOLDA,1,3,0
40-43-99-79,ZIGUINCHOR,1,4,0
99-33-20-12,LOUGA,1,2,0
50-08-18-57,ZIGUINCHOR,1,2,0
34-31-71-93,KOLDA,1,2,0
92-48-25-06,KOLDA,1,2,0
38-95-36-64,KOLDA,1,0,0
41-04-27-36,FATICK,1,3,0
22-53-96-64,KOLDA,1,2,0
65-01-44-01,LOUGA,1,3,0
10-30-29-62,LOUGA,1,2,0
08-96-11-09,THIES,1,2,0
14-36-34-99,KOLDA,1,1,0
34-12-08-95,KOLDA,1,2,0
17-69-79-14,THIES,1,2,0
61-05-22-41,KOLDA,1,1,0
51-38-23-22,KOLDA,1,3,0
06-60-69-39,FATICK,1,4,0
38-10-14-34,ZIGUINCHOR,1,2,0
74-21-70-97,KOLDA,1,2,0
07-25-18-11,KOLDA,1,2,0
30-77-38-25,KOLDA,NA,0,1
78-11-74-44,THIES,1,2,0
68-76-46-07,KOLDA,1,3,0
04-99-79-55,KOLDA,1,2,0
66-82-27-72,FATICK,1,1,0
15-18-37-33,KOLDA,1,2,0
14-33-74-77,KOLDA,1,2,0
51-82-23-52,FATICK,1,2,0
97-35-15-17,LOUGA,1,2,0
06-37-35-78,KOLDA,1,1,0
81-08-82-61,KOLDA,1,2,0
04-31-05-95,LOUGA,1,3,0
82-56-90-12,KOLDA,1,2,0
68-19-68-07,LOUGA,1,6,0
40-74-80-54,THIES,1,2,0
91-65-70-27,KOLDA,1,2,0
40-27-24-61,KOLDA,1,1,0
78-65-20-83,THIES,1,2,0
38-75-33-44,FATICK,1,2,0
52-17-54-94,KOLDA,1,2,0
44-31-64-43,LOUGA,1,1,0
80-94-52-28,LOUGA,1,3,0
87-38-33-05,ZIGUINCHOR,1,1,0
63-53-89-88,LOUGA,1,1,0
76-16-71-71,ZIGUINCHOR,1,5,0
79-11-37-72,KOLDA,1,2,0
58-16-76-77,THIES,1,3,0
93-95-87-17,THIES,1,2,0
48-97-86-72,LOUGA,1,1,0
59-45-50-04,ZIGUINCHOR,1,2,0
86-26-06-27,THIES,1,2,0
35-89-56-28,ZIGUINCHOR,1,2,0
