interview__key,numero_ind,sexe,age,lien_cm,statut_matri,scolarise,niveau_etudes,occupation,age_enfant,poids_enfant,taille_enfant,pb_enfant,oedeme_enfant,enfant_cible,malnutrition,region,departement,milieu
65-80-78-58,2,2,35,2,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
65-80-78-58,3,2,13,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
65-80-78-58,4,2,7,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
65-80-78-58,5,1,10,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
48-98-01-32,1,1,37,1,2,1,1,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
48-98-01-32,2,2,33,2,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
48-98-01-32,3,1,11,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
48-98-01-32,4,2,1,3,4,NA,NA,NA,16,"09,40","078,56",NA,2,TRUE,0,KOLDA,KOLDA,1
48-98-01-32,5,1,1,6,4,NA,NA,NA,16,"09,10","080,20",NA,2,TRUE,0,KOLDA,KOLDA,1
48-98-01-32,6,2,18,2,2,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
97-72-24-94,1,1,66,1,2,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,2,2,56,2,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,3,1,32,3,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,4,1,22,3,1,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,5,1,18,3,4,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,6,1,16,3,4,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,7,2,14,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,8,2,8,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,9,2,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
97-72-24-94,10,2,40,2,2,2,NA,8,NA,NA,NA,NA,NA,FALSE,NA,KAFFRINE,MALEM HODDA,1
44-88-65-80,1,1,63,1,2,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,2,2,54,2,2,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,3,1,26,3,1,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,4,2,22,9,1,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,5,1,6,10,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,6,2,3,10,4,NA,NA,NA,43,"99,99","999,99",NA,2,TRUE,0,LOUGA,KEBEMER,1
44-88-65-80,7,1,0,11,4,NA,NA,NA,3,"99,99","999,99",NA,2,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,8,1,0,11,4,NA,NA,NA,3,"99,99","999,99",NA,2,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,9,1,19,3,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,10,1,14,11,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
44-88-65-80,11,1,12,11,4,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
23-56-84-15,1,1,40,1,1,2,NA,9,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
23-56-84-15,2,2,35,2,1,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
23-56-84-15,3,2,15,3,4,1,1,0,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
23-56-84-15,4,1,4,3,4,NA,NA,NA,44,"13,60","100,80",NA,2,TRUE,0,LOUGA,KEBEMER,1
23-56-84-15,5,1,1,3,4,NA,NA,NA,13,"06,30","074,20",NA,2,TRUE,0,LOUGA,KEBEMER,1
23-56-84-15,6,2,61,5,2,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,LOUGA,KEBEMER,1
73-15-93-84,1,1,61,1,2,1,3,8,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
73-15-93-84,2,2,46,2,2,1,1,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
73-15-93-84,3,2,40,2,2,2,NA,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
73-15-93-84,4,2,31,2,2,1,1,10,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
73-15-93-84,5,2,14,3,4,1,2,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
73-15-93-84,6,2,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
73-15-93-84,7,1,3,3,4,NA,NA,NA,0,"12,30","084,70",NA,2,FALSE,NA,KOLDA,KOLDA,1
73-15-93-84,8,1,6,3,4,2,NA,0,NA,NA,NA,NA,NA,FALSE,NA,KOLDA,KOLDA,1
