interview__key,region,departement,milieu,materiau_toit,materiau_murs,nb_pieces,statut_occup,possede_bien_1,possede_bien_2,possede_bien_3,possede_bien_4,possede_bien_5,possede_bien_6,possede_bien_7,possede_bien_8,possede_bien_9,possede_bien_10,possede_bien_11,possede_bien_12,possede_bien_13,possede_bien_14,possede_bien_15,source_eau,type_toilettes,source_revenu_0,source_revenu_1,source_revenu_2,source_revenu_3,source_revenu_4,source_revenu_5,source_revenu_6,source_revenu_7,source_revenu_8,source_revenu_9,source_revenu_10,source_revenu_11,source_revenu_12,source_revenu_13,source_revenu_14,choc_subi
05-44-18-95,THIES,M�BOUR,1,3,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
82-65-62-70,THIES,M�BOUR,1,4,5,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
45-11-10-77,KOLDA,VELINGARA,1,3,6,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56-61-21-78,THIES,M�BOUR,1,2,1,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
76-40-23-29,KOLDA,VELINGARA,1,2,1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,10,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
08-79-61-37,THIES,M�BOUR,2,1,1,5,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
79-29-04-88,ZIGUINCHOR,ZIGUINCHOR,1,3,3,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
08-28-16-93,THIES,M�BOUR,1,3,6,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14-11-57-48,KOLDA,VELINGARA,1,4,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
42-20-33-94,SEDHIOU,BOUNKILING,1,3,1,3,2,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
46-62-32-77,KOLDA,VELINGARA,1,2,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40-20-84-56,ZIGUINCHOR,ZIGUINCHOR,1,3,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
97-84-83-29,KOLDA,VELINGARA,1,4,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-15-13-10,SEDHIOU,BOUNKILING,1,3,1,8,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,5,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
45-80-99-97,SEDHIOU,BOUNKILING,1,3,1,7,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,6,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2
78-56-75-93,THIES,M�BOUR,1,3,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,2
27-54-88-47,SEDHIOU,BOUNKILING,1,3,1,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
86-88-58-53,THIES,M�BOUR,1,2,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
59-13-03-75,SAINT LOUIS,PODOR,1,1,1,7,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2
71-01-35-66,THIES,M�BOUR,1,3,6,7,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
68-97-84-95,ZIGUINCHOR,ZIGUINCHOR,1,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,2
29-56-98-70,SEDHIOU,BOUNKILING,1,3,3,9,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,5,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
57-08-58-57,THIES,M�BOUR,2,1,1,5,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
33-71-71-87,THIES,M�BOUR,1,3,6,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87-71-59-07,LOUGA,LINGUERE,1,4,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2
56-70-08-88,SEDHIOU,BOUNKILING,1,3,1,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
42-16-33-48,THIES,M�BOUR,1,3,1,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1
92-64-25-05,LOUGA,LINGUERE,1,4,6,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
90-90-48-06,THIES,M�BOUR,1,1,4,5,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
18-30-68-36,SAINT LOUIS,PODOR,1,3,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
96-40-15-19,THIES,M�BOUR,1,3,1,5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
47-24-78-00,SAINT LOUIS,PODOR,1,3,5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2
29-54-92-04,THIES,M�BOUR,1,1,4,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2
34-09-98-55,THIES,M�BOUR,1,3,1,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
