interview__key,choc_id
25-21-14-11,6
25-21-14-11,8
25-21-14-11,10
60-12-69-85,10
91-22-68-46,1
91-22-68-46,8
91-22-68-46,11
92-92-19-37,10
39-11-46-04,8
63-18-05-72,13
79-95-76-49,6
79-95-76-49,13
57-04-47-30,13
34-98-89-43,6
34-98-89-43,13
58-35-90-39,13
71-70-98-13,6
71-70-98-13,13
13-47-57-62,13
83-96-58-60,12
49-65-91-69,6
49-65-91-69,13
19-19-59-45,6
19-19-59-45,13
02-36-49-12,13
13-85-83-30,13
88-57-14-93,6
85-53-84-03,6
85-53-84-03,13
93-75-37-80,3
93-75-37-80,13
94-99-48-18,6
94-99-48-18,10
94-99-48-18,13
42-29-83-23,6
42-29-83-23,13
23-62-03-38,6
54-87-81-69,6
54-87-81-69,13
76-07-86-30,6
76-07-86-30,10
76-07-86-30,13
83-66-79-62,6
05-03-89-16,6
05-03-89-16,13
16-93-00-19,6
69-42-65-77,6
69-42-65-77,13
71-54-46-43,6
71-54-46-43,10
71-54-46-43,13
44-63-25-56,6
50-19-35-86,6
50-19-35-86,10
50-19-35-86,13
15-39-17-07,6
15-39-17-07,13
83-99-08-18,6
83-99-08-18,10
83-99-08-18,13
11-01-10-40,6
11-01-10-40,9
11-01-10-40,13
28-57-14-07,6
28-57-14-07,10
28-57-14-07,13
64-85-49-60,6
64-85-49-60,10
64-85-49-60,12
20-17-59-72,6
20-17-59-72,10
20-17-59-72,13
59-93-32-79,6
59-93-32-79,9
59-38-81-43,13
59-71-42-67,6
18-50-60-58,13
28-85-38-97,13
24-79-09-32,6
24-79-09-32,10
24-79-09-32,13
05-00-38-66,6
05-00-38-66,11
09-96-26-86,4
62-64-97-88,6
62-64-97-88,8
62-64-97-88,11
64-61-73-74,13
